item,ACTIVATOR,AUTOCLIP,AUTOLIGHTMAP,BLOCK_STOPS,BLUE_ONLY,BLUE_TEAM_ITEM,BLUE_TEAM_TARGET,BOUNCE_PAD,CASTSHADOWS,CRUSHER,FAST_ROTATE,GLOBAL,INITIAL,LINEAR,LOOPED_OFF,LOOPED_ON,NO_ANGLE,NO_GRID_LIGHT,NO_GRID_LIGHTJUNIOR,NO_PROTECTION,NO_SWING,PRIVATE,RANDOM,RED_ONLY,RED_TEAM_ITEM,RED_TEAM_TARGET,SILENT,SLOW,SLOW_ROTATE,SPECTATOR,START_OFF,START_ON,START_OPEN,SUSPENDED,TOGGLE,X_AXIS_FUNC_BOBBING,X_AXIS_FUNC_ROTATING,Y_AXIS_FUNC_BOBBING,Y_AXIS_FUNC_ROTATING
target_give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_print,,,,,,,1,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,
target_push,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_relay,,,,,1,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,
target_remove_powerups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_speaker,3,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
target_teleporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_blueobelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_blueflag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_blueplayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_bluespawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_neutralflag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_redflag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_redplayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_CTF_redspawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_neutralobelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_redobelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger_always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger_hurt,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,4,,,0,,,,,,,,
trigger_multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger_push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger_teleport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
weapon_bfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_chaingun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_gauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_grapplinghook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_grenadelauncher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_machinegun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_nailgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_plasmagun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_prox_launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_railgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_rocketlauncher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
weapon_shotgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
worldspawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
